facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Toronto Rehabilitation Institute - Hillcrest Centre,toronto,M5R 1Y8,Toronto,43.677546500000005,-79.4155915,47,austin terrace,on,Hospitals
Toronto Rehabilitation Institute - Lyndhurst Centre,toronto,M4G 3V9,Toronto,43.7184894,-79.36971159999999,520,sutherland dr,on,Hospitals
Toronto Rehabilitation Institute - Rumsey Centre,toronto,M4G 1R7,Toronto,43.718728600000006,-79.3715512,345 347,rumsey rd,on,Hospitals
Toronto Rehabilitation Institute - University Centre,toronto,M5G 2A2,Toronto,43.656710700000005,-79.3899079,550,university ave,on,Hospitals
Trillium Health Partners — Mississauga Hospital,mississauga,L5B 1B8,Mississauga,43.571586,-79.607685,100,queensway w,on,Hospitals
Trillium Health Partners - Queensway Health Centre,etobicoke,M9C 1A5,Toronto,43.609267,-79.56257,150,sherway dr,on,Hospitals
Trillium Health Partners — Reactivation Care Centre Church,toronto,M9N 1N8,Toronto,,,,,on,Hospitals
Unity Health Toronto — Reactivation Care Centre Church,toronto,M9N 1N8,Toronto,,,,,on,Hospitals
University Health Network - Princess Margaret Hospital,toronto,M5G 2M9,Toronto,43.6580743,-79.3905974,610,university ave,on,Hospitals
University Health Network - Toronto General Hospital,toronto,M5G 2C4,Toronto,43.6591111,-79.38820940000001,200,elizabeth st,on,Hospitals
University Health Network - Toronto Western Hospital,toronto,M5T 2S8,Toronto,43.6537025,-79.4060937,399,bathurst st,on,Hospitals
Waypoint Centre for Mental Health Care,penetanguishene,L9M 1G3,Penetanguishene,44.800908500000006,-79.92947690000001,500,church st,on,Hospitals
Weeneebayko Area Health Authority - Attawapiskat,moose factory,P0L 1A0,Attawapiskat 91A,52.92425681,-82.42780256,972,riverside e,on,Hospitals
Weeneebayko Area Health Authority - Moosonee,moosonee,P0L 1Y0,Moosonee,51.2727427,-80.64682568,5,percys way,on,Hospitals
Weeneebayko General Hospital,moose factory,P0L 1W0,"Cochrane, Unorganized, North Part",51.24996420000001,-80.6162644,19,hospital dr,on,Hospitals
Weenusk First Nation,peawanuck,P0L 2H0,Peawanuck,54.99390405,-85.42774793,30,main street,on,Hospitals
Wellington Health Care Alliance - Palmerston and District Hospital,palmerston,N0G 2P0,Minto,43.839041,-80.842839,500,whites rd,on,Hospitals
West Haldimand General Hospital,hagersville,N0A 1H0,Haldimand County,42.9587679,-80.0447807,75,parkview rd,on,Hospitals
West Lincoln Memorial Hospital,grimsby,L3M 1P3,Grimsby,43.188256,-79.54190600000001,169,main st e,on,Hospitals
the West Nipissing General Hospital,sturgeon falls,P2B 2Y6,West Nipissing / Nipissing Ouest,46.3722814,-79.91620309999999,725,coursol rd,on,Hospitals
West Park Healthcare Centre,toronto,M6M 2J5,Toronto,43.690044,-79.50818129999999,82,buttonwood ave,on,Hospitals
West Parry Sound Health Centre,parry sound,P2A 3A4,Parry Sound,45.340743,-80.016767,6,albert st,on,Hospitals
William Osler Health System - Brampton Civic Hospital,brampton,L6T 3S1,Brampton,43.747466,-79.743223,2100,bovaird dr e,on,Hospitals
William Osler Health System - Etobicoke,etobicoke,M9V 1R8,Toronto,43.72929439999999,-79.5984363,101,humber college boulevard,on,Hospitals
William Osler Health System - Peel Memorial,brampton,L6W 2Z8,Brampton,43.690476,-79.75143100000001,20,lynch street,on,Hospitals
Wilson Memorial General Hospital,marathon,P0T 2E0,Marathon,48.718523,-86.3754,26,peninsula rd,on,Hospitals
Winchester District Memorial Hospital,winchester,K0C 2K0,North Dundas,45.0886156,-75.3522595,566,louise st,on,Hospitals
Windsor Regional Hospital - Mary Vale,windsor,N9C 1T9,Windsor,42.28925637,-83.07303322,3640,wells street,on,Hospitals
Windsor Regional Hospital - Metropolitan Campus,windsor,N8W 1L9,Windsor,42.30040579999999,-82.99723,1995,lens ave,on,Hospitals
Windsor Regional Hospital - Western Campus,windsor,N9C 3Z4,Windsor,42.2856493,-83.0634309,1453,prince rd,on,Hospitals
Woodstock General Hospital,woodstock,N4V 0A4,Woodstock,43.106451,-80.7537011,310,juliana dr,on,Hospitals
