hospital_name,admitted_patients,high_urgency_patients_not_admitted
South Huron Hospital,6.7,3.4
Southlake Regional Health Centre,22.4,3.5
St. Francis Memorial Hospital,11.9,3.0
St. Joseph's General Hospital,8.4,3.3
St. Joseph's Health Care System-Hamilton,16.2,4.4
"St. Joseph's Health Care, London",3.1,2.6
St. Thomas-Elgin General Hospital,5.3,3.4
Stevenson Memorial Hospital Alliston,15.0,4.1
Strathroy Middlesex General Hospital,15.5,3.1
Sunnybrook Health Sciences Centre,14.3,7.3
Temiskaming Hospital,5.5,3.9
The Lady Minto Hospital,8.4,4.3
The Red Lake Margaret Cochenour Memorial Hospital,7.9,4.3
Thunder Bay Regional Hlth Sciences Ctr,16.4,4.7
Timmins and District Hospital,12.8,4.5
Tor. East Hlth Ntwrk-Michael Garron Hosp,16.2,4.2
Trillium Health Partners-Credit Valley,33.5,5.5
Trillium Health Partners-Mississauga,19.4,4.4
Trillium Health Partners-Queensway Hlth,,2.5
Unity Health Toronto - St. Joseph's,22.9,4.4
Unity Health Toronto-St. Michael's,14.2,5.5
University Health Network-General Site,18.4,6.1
University Health Network-Western Site,18.4,5.5
WRHN-Midtown,14.9,5.2
WRHN-Queen's Boulvard,15.4,4.9
West Haldimand General Hospital,8.2,2.7
West Nipissing General Hospital,8.8,3.6
West Parry Sound Health Centre,11.4,4.7
William Osler Health System-Civic Site,25.2,4.5
William Osler Health System-Etobicoke Site,19.9,4.5
William Osler Health System-Peel Memorial,,3.2
Wilson Memorial General Hospital,4.8,3.0
Winchester District Memorial Hospital,10.2,4.9
Windsor Regional Hospital - Ouellette Campus,17.2,5.9
Windsor Regional Hospital-Metropolitan Campus,19.1,6.2
Wingham And District Hospital,5.6,2.5
Woodstock Hospital,8.4,3.7
