hospital_name,antibiotic_resistant_rate,cdiff_rate,hand_hygiene_pct_before,surgical_safety_pct
Niagara Health System-Port Colborne Site,0.0,0.232991612301957,74.55,
Niagara Health System-Welland County,0.0,0.0,51.27,
Nipigon District Memorial Hospital,,,,
Norfolk General Hospital,,,,
North Bay Regional Health Centre,0.0,,82.78,
North Bay Regional Health Centre - Kirkwood Place,0.0,,92.38,
North Shore Health Network - Blind River Site,,,,
North Shore Health Network - Thessalon Site,,,,
North Wellington Health Care - Mount Forest,0.0,,66.67,
North Wellington Health Care - Palmerston,0.0,,73.77,
North York General Hospital,0.0,,,99.88826816
North York General Hospital - NYGH RCC,0.0,,,
North York General Hospital-Consumers Rd,,,,
North of Superior Healthcare Group - McCausland Hospital,,,,
North of Superior Healthcare Group - Wilson Memorial General Hospital,,,,
Northumberland Hills Hospital,0.0,,,100.0
Oak Valley Health,0.0,0.246870040557221,83.62,99.14712154
Oak Valley Health - Cottage Hospital Site,0.0,0.0,94.21,
Ontario,0.0296212864344081,0.181573167423586,85.02108094,99.57991632
Ontario Shores Centre For Mental Health Sciences,0.0,0.0,,
Orillia Soldiers' Memorial Hospital,0.121219467846536,0.130233769616462,100.0,
Ottawa Hospital (The)-Civic Site,0.0324712223791665,0.0852805730854511,79.0,
Ottawa Hospital (The)-General Site,0.0170039108995069,0.143526076894096,65.1,
Pembroke Regional Hospital Inc.,0.0,0.119789171058936,84.89,
Perth & Smiths Falls Dist-Perth Site,0.0,0.0,,
Perth & Smiths Falls Dist-Smiths Falls Site,0.0,0.0,,
Peterborough Regional Health Centre,0.0207236705765325,0.0852896650248406,57.06,
Providence Care Centre - Mental Health Services,0.033648507688684,0.16824253844342,87.35,
Queensway-Carleton Hospital,0.0,0.092747171211278,94.76,
Quinte Health-Bancroft,0.0,1.37362637362637,90.24,
Quinte Health-Belleville,0.0412065271138948,0.503482420072166,88.18,
Quinte Health-Picton,0.0,0.50761421319797,85.29,
Quinte Health-Trenton,0.0,0.961538461538462,97.34,
Renfrew Victoria Hospital,0.0,0.228675966155957,68.92,
Riverside Health Care Facilities Inc. - Emo Site,,,97.76,
Riverside Health Care Facilities Inc. - La Verendrye,,,96.61,
Riverside Health Care Facilities Inc. - Rainy River,,,95.41,
Ross Memorial Hospital,0.0,0.346520358071037,75.51,
Royal Ottawa Health Care Group - Brockville Mental Health Centre,0.0,0.0,93.21,
Royal Ottawa Health Care Group - Royal Ottawa Mental Health Centre,0.0,0.0,96.94,
Royal Victoria Regional Health Centre,0.0,,,
Runnymede Healthcare Centre,0.0,0.109475067053479,94.42,
Salvation Army Toronto Grace Health Centre,0.0,,96.0,
Sante Manitouwadge Health,0.0,,,
Sault Area Hospital-Sault Ste. Marie,0.103039670273055,0.737268945178788,79.86,
Scarborough Health Network-Birchmount Site,0.0,0.193050193050193,,
Scarborough Health Network-Centenary Site,0.0,0.0970434107524099,,
Scarborough Health Network-Scar.Gen.Site,0.0336258784760752,0.286789747266535,,
Seaforth Community Hospital,0.0,0.0,,
Sensenbrenner Hospital,,,,
Services De Sante De Chapleau Health Services,,,92.43,
Sinai Health System - Hennick Bridgepoint Hospital Site,0.0,0.0746825989544436,90.6,
Sinai Health System-Mount Sinai Site,0.0535403560433677,0.19629011679262,82.29,99.70961887
Sioux Lookout Meno-Ya-Win Health Centre - Zone,0.0,0.0,61.84,
Smooth Rock Falls Hospital,0.0,0.0,94.95,
South Bruce Grey Health Centre-Chesley,0.0,0.0,85.23,
South Bruce Grey Health Centre-Durham,0.0,0.0,100.0,
South Bruce Grey Health Centre-Kincardine,0.0,0.568504832291074,99.54,
South Bruce Grey Health Centre-Walkerton,0.0,0.0,79.22,98.63636364
South Huron Hospital,,,,
Southlake Regional Health Centre,0.0,0.151848758636398,77.1,
